COMPANY,SYMBOL,SECTOR,LAST PRICE,CHANGE %,LAST UPDATE
Herfy Foods,6002,Consumer Svc Index,49,0.0091,43207
Jouf Cement,3091,Materials Index,10.16,-0.0039,43207
HCC,3001,Materials Index,9.24,0.0022,43207
Najran Cement,3002,Materials Index,9.02,0,43207
Saudi Airlines Catering,6004,Commercial & Professional Svc Index,83,-0.011,43207
Solidarity,8290,Insurance Index,22.3,0,43207
AXA Cooperative,8250,Insurance Index,28.75,-0.0031,43207
CHUBB,8240,Insurance Index,23.84,0.0307,43207
AlRajhi Takaful,8230,Insurance Index,77.9,0.011,43207
Buruj,8270,Insurance Index,34.1,0.0015,43207
SSP,1320,Materials Index,21.48,-0.0133,43207
Gulf General,8260,Insurance Index,17.12,0.0077,43207
Al Alamiya,8280,Insurance Index,31.4,0.0854,43207
Mouwasat,4002,Health Care Equipment & Svc Index,191.6,-0.0033,43207
SHAKER,1214,Retailing Index,10.8,0.0037,43207
AlSorayai Group,1213,Consumer Durables & Apparel Index,16.16,-0.0037,43207
Amana Insurance,8310,Insurance Index,19.34,-0.0242,43207
Wataniya,8300,Insurance Index,29.25,0.0167,43207
ALKHODARI,1330,Capital Goods Index,8.97,0.0216,43207
ASLAK,1301,Materials Index,16.22,0.0012,43207
Extra,4003,Retailing Index,79.5,0.0289,43207
Enaya,8311,Insurance Index,15.66,0,43207
Takween,1201,Materials Index,9.83,0.0051,43207
Alinma Tokio M,8312,Insurance Index,24.54,-0.0085,43207
City Cement,3003,Materials Index,12.74,-0.0055,43207
ALTAYYAR,1810,Consumer Svc Index,28.2,0.0046,43207
Al Hammadi,4007,Health Care Equipment & Svc Index,36.95,0,43207
Dallah Health,4004,Health Care Equipment & Svc Index,110,-0.0068,43207
UACC,3005,Materials Index,16.04,-0.0037,43207
SGS,4031,Transportation Index,37.5,0.0105,43207
Northern Cement,3004,Materials Index,10.24,-0.001,43207
LAZURDE,4011,Consumer Durables & Apparel Index,17.84,0.0056,43207
Saudi German Hosptl,4009,Health Care Equipment & Svc Index,58.4,-0.0123,43207
OASIS,3007,Materials Index,46.25,-0.0139,43207
Care,4005,Health Care Equipment & Svc Index,61.7,-0.0087,43207
Bawan,1302,Capital Goods Index,18.48,0.0038,43207
Al Hokair Group,1820,Consumer Svc Index,22.84,0.0187,43207
Jazira Takaful,8012,Insurance Index,24.58,0.0049,43207
NCB,1180,Banks Index,65.9,0.003,43207
METLIFE AIG ANB,8011,Insurance Index,12.52,0.0339,43207
ARAB SEA,9505,Software & Svc Index,12.2,-0.0049,43207
ALANDALUS,4320,Real Estate Mgmt & Dev't Index,23.42,-0.0034,43207
ALYAMAMAH STEEL,1304,Materials Index,21.72,-0.0041,43207
MEPCO,1202,Materials Index,26.2,0.0199,43207
BAAZEEM,9503,Retailing Index,26.5,0.0299,43207
EIC,1303,Capital Goods Index,23.42,-0.0059,43207
Farm Superstores,4006,Food & Staples Retailing Index,23.46,0.0026,43207
SACO,4008,Retailing Index,131.6,0.0003,43207
RAYDAN,9506,Consumer Svc Index,16.26,0.0006,43207
ALOMRAN,9502,Capital Goods Index,16.3,0.0056,43207
THOB ALASEEL,9507,Consumer Durables & Apparel Index,63,-0.024,43207
ABO MOATI,9500,Retailing Index,12.18,-0.0057,43207
DWF,9501,Consumer Svc Index,74.5,-0.0146,43207
ALSAMAANI,9504,Commercial & Professional Svc Index,46.6,-0.0265,43207
ALKATHIRI,9508,Materials Index,30,0.0345,43207
